,Date,Route,SailingTime,Vessel,ScheduledDeparture,ActualDeparture,ETA(Arrival.Time),Status,24HourDeparture,Traffic,WindSpeed_kph,Delay,Temperature
72,188,2016-09-01,Departure Bay to Horseshoe Bay,1 hour 40 minutes,Queen of Oak Bay,12:50 PM,12:49 PM,2:33 PM,On Time,1250,1,4,-1,15
73,189,2016-09-01,Departure Bay to Horseshoe Bay,1 hour 40 minutes,Coastal Renaissance,3:10 PM,3:10 PM,4:51 PM,On Time,1510,1,3,0,16
74,190,2016-09-01,Departure Bay to Horseshoe Bay,1 hour 40 minutes,Queen of Cowichan,4:40 PM,4:42 PM,...,On Time,1640,1,1,2,15
75,191,2016-09-01,Departure Bay to Horseshoe Bay,1 hour 40 minutes,Queen of Oak Bay,5:20 PM,5:20 PM,7:01 PM,On Time,1720,2,0,0,15
76,192,2016-09-01,Departure Bay to Horseshoe Bay,1 hour 40 minutes,Coastal Renaissance,7:30 PM,7:30 PM,9:09 PM,On Time,1930,3,1,0,13
77,193,2016-09-01,Departure Bay to Horseshoe Bay,1 hour 40 minutes,Queen of Oak Bay,9:30 PM,9:30 PM,11:15 PM,On Time,2130,2,6,0,11
78,194,2016-09-01,Horseshoe Bay to Snug Cove (Bowen Is.),20 minutes,Queen of Capilano,6:00 AM,5:59 AM,6:19 AM,On Time,600,1,3,-1,12
79,195,2016-09-01,Horseshoe Bay to Snug Cove (Bowen Is.),20 minutes,Queen of Capilano,7:00 AM,6:59 AM,7:19 AM,On Time,700,1,4,-1,13
80,196,2016-09-01,Horseshoe Bay to Snug Cove (Bowen Is.),20 minutes,Queen of Capilano,8:00 AM,8:01 AM,8:23 AM,On Time,800,1,4,1,15
81,197,2016-09-01,Horseshoe Bay to Snug Cove (Bowen Is.),20 minutes,Queen of Capilano,9:05 AM,9:07 AM,9:29 AM,On Time,905,1,7,2,15
82,198,2016-09-01,Horseshoe Bay to Snug Cove (Bowen Is.),20 minutes,Queen of Capilano,10:05 AM,10:08 AM,10:29 AM,On Time,1005,1,2,3,15
83,199,2016-09-01,Horseshoe Bay to Snug Cove (Bowen Is.),20 minutes,Queen of Capilano,11:05 AM,11:09 AM,11:29 AM,On Time,1105,1,8,4,15
84,200,2016-09-01,Horseshoe Bay to Snug Cove (Bowen Is.),20 minutes,Queen of Capilano,12:10 PM,12:10 PM,12:29 PM,On Time,1210,1,4,0,15
85,201,2016-09-01,Horseshoe Bay to Snug Cove (Bowen Is.),20 minutes,Queen of Capilano,2:35 PM,2:35 PM,2:57 PM,On Time,1435,1,2,0,16
86,202,2016-09-01,Horseshoe Bay to Snug Cove (Bowen Is.),20 minutes,Queen of Capilano,3:45 PM,3:47 PM,4:09 PM,On Time,1545,1,3,2,16
87,203,2016-09-01,Horseshoe Bay to Snug Cove (Bowen Is.),20 minutes,Queen of Capilano,4:45 PM,4:54 PM,5:15 PM,Operational delay,1645,1,1,9,15
88,204,2016-09-01,Horseshoe Bay to Snug Cove (Bowen Is.),20 minutes,Queen of Capilano,5:50 PM,6:05 PM,6:27 PM,Traffic delays,1750,1,0,15,15
89,205,2016-09-01,Horseshoe Bay to Snug Cove (Bowen Is.),20 minutes,Queen of Capilano,6:50 PM,7:06 PM,7:27 PM,Traffic delays,1850,3,0,16,14
90,206,2016-09-01,Horseshoe Bay to Snug Cove (Bowen Is.),20 minutes,Queen of Capilano,7:50 PM,8:03 PM,8:23 PM,Traffic delays,1950,1,1,13,13
91,207,2016-09-01,Horseshoe Bay to Snug Cove (Bowen Is.),20 minutes,Queen of Capilano,8:40 PM,8:57 PM,9:17 PM,Traffic delays,2040,3,4,17,12
92,208,2016-09-01,Horseshoe Bay to Snug Cove (Bowen Is.),20 minutes,Queen of Capilano,9:40 PM,9:51 PM,10:11 PM,Traffic delays,2140,2,6,11,11
93,209,2016-09-01,Horseshoe Bay to Departure Bay,1 hour 40 minutes,Queen of Oak Bay,6:20 AM,6:20 AM,8:01 AM,On Time,620,1,3,0,12
94,210,2016-09-01,Horseshoe Bay to Departure Bay,1 hour 40 minutes,Coastal Renaissance,8:30 AM,8:29 AM,10:09 AM,On Time,830,1,4,-1,15
95,211,2016-09-01,Horseshoe Bay to Departure Bay,1 hour 40 minutes,Queen of Cowichan,9:55 AM,9:55 AM,11:35 AM,On Time,955,1,7,0,15
96,212,2016-09-01,Horseshoe Bay to Departure Bay,1 hour 40 minutes,Queen of Oak Bay,10:40 AM,10:40 AM,12:17 PM,On Time,1040,2,2,0,15
97,213,2016-09-01,Horseshoe Bay to Departure Bay,1 hour 40 minutes,Coastal Renaissance,12:50 PM,12:58 PM,2:35 PM,On Time,1250,1,4,8,15
98,214,2016-09-01,Horseshoe Bay to Departure Bay,1 hour 40 minutes,Queen of Cowichan,2:30 PM,2:31 PM,4:11 PM,On Time,1430,1,2,1,16
99,215,2016-09-01,Horseshoe Bay to Departure Bay,1 hour 40 minutes,Queen of Oak Bay,3:10 PM,3:12 PM,4:51 PM,On Time,1510,1,3,2,16
100,216,2016-09-01,Horseshoe Bay to Departure Bay,1 hour 40 minutes,Coastal Renaissance,5:20 PM,5:23 PM,7:03 PM,On Time,1720,2,0,3,15
101,217,2016-09-01,Horseshoe Bay to Departure Bay,1 hour 40 minutes,Queen of Cowichan,6:55 PM,6:57 PM,8:37 PM,On Time,1855,3,0,2,14
102,218,2016-09-01,Horseshoe Bay to Departure Bay,1 hour 40 minutes,Queen of Oak Bay,7:30 PM,7:31 PM,9:11 PM,On Time,1930,3,1,1,13
103,219,2016-09-01,Horseshoe Bay to Departure Bay,1 hour 40 minutes,Coastal Renaissance,9:30 PM,9:34 PM,11:13 PM,On Time,2130,2,6,4,11
